USERNAME,TEXT,RETWEETS
AndresEspinoza,"Game seven". Two of the sweetest words in baseball #Bravos #Cardenales,1
AndresEspinoza,Extrainnings en el #Game7 de la #WorldSeries . I love baseball so freaking much,2
AndresEspinoza,Francisco Lindor is so damn good at baseball it's almost ridiculous #WorldSeries,1
AndresEspinoza,Free baseball #Caribes #Tiburones,0
AndresEspinoza,You gotta love October baseball #WorldSeries https:// twitter.com/MLBastian/stat us/791079271959785473 …,0
AndresEspinoza,Well, I'm finally up to date with my wrestling. Time for baseball ! #LoveBeingOff,0
AndresEspinoza,Los #Orioles sacan dos de tres en Toronto. October baseball is so awesome...it would be better if the A's were contending, tho #IsIt2017Yet,0
AnSanchezRu,Victoria de los #Marlins ... It's hard not to be romantic about baseball,0
MiguelBuraye,@RecsFCB porque según los sesudos del baseball dicen que Ildemaro es más facil dominarlo a la derecha que a la zurda,0
MiguelBuraye,@marcanosimon82 @Parraga_Lvbp @WilliamsAliotti desde que el Sr. Scutaro empezo a jugar con San Francisco se olvido que en Vzla hay baseball,0
MiguelBuraye,@CardenalesDice Por ahí dicen los sesudos del baseball el que no hace le hacen @AlfonsoSaerG,0
MiguelBuraye,@CardenalesDice @AlfonsoSaerG alguien que sea más ilustrado que yo en baseball que me explique que hizo este sr. Vargas,0
